12/02/2023 15:08:04 - 0058:	 - train_loss: 0.489240:	 - test_loss: 0.511644:	 mIoU 0.6516
12/02/2023 15:08:07 - 0059:	 - train_loss: 0.491967:	 - test_loss: 0.558617:	 mIoU 0.5835
12/02/2023 15:08:10 - 0060:	 - train_loss: 0.532464:	 - test_loss: 0.511760:	 mIoU 0.6503
12/02/2023 15:08:14 - 0061:	 - train_loss: 0.465877:	 - test_loss: 0.491732:	 mIoU 0.6709
12/02/2023 15:08:17 - 0062:	 - train_loss: 0.502835:	 - test_loss: 0.522776:	 mIoU 0.6321
12/02/2023 15:08:21 - 0063:	 - train_loss: 0.505372:	 - test_loss: 0.576337:	 mIoU 0.5519
12/02/2023 15:08:24 - 0064:	 - train_loss: 0.542228:	 - test_loss: 0.516589:	 mIoU 0.6437
12/02/2023 15:08:28 - 0065:	 - train_loss: 0.537519:	 - test_loss: 0.534328:	 mIoU 0.6232
12/02/2023 15:08:31 - 0066:	 - train_loss: 0.507883:	 - test_loss: 0.517516:	 mIoU 0.6420
12/02/2023 15:08:35 - 0067:	 - train_loss: 0.481960:	 - test_loss: 0.518923:	 mIoU 0.6409
12/02/2023 15:08:38 - 0068:	 - train_loss: 0.480956:	 - test_loss: 0.508136:	 mIoU 0.6538
12/02/2023 15:08:42 - 0069:	 - train_loss: 0.468032:	 - test_loss: 0.509623:	 mIoU 0.6513
12/02/2023 15:08:45 - 0070:	 - train_loss: 0.461290:	 - test_loss: 0.503687:	 mIoU 0.6586
12/02/2023 15:08:49 - 0071:	 - train_loss: 0.500976:	 - test_loss: 0.517534:	 mIoU 0.6425
12/02/2023 15:08:52 - 0072:	 - train_loss: 0.486030:	 - test_loss: 0.509154:	 mIoU 0.6530
12/02/2023 15:08:55 - 0073:	 - train_loss: 0.507748:	 - test_loss: 0.520196:	 mIoU 0.6340
12/02/2023 15:08:59 - 0074:	 - train_loss: 0.507356:	 - test_loss: 0.502305:	 mIoU 0.6621
12/02/2023 15:09:02 - 0075:	 - train_loss: 0.503854:	 - test_loss: 0.498529:	 mIoU 0.6624
12/02/2023 15:09:06 - 0076:	 - train_loss: 0.488382:	 - test_loss: 0.507697:	 mIoU 0.6499
12/02/2023 15:09:09 - 0077:	 - train_loss: 0.527913:	 - test_loss: 0.523551:	 mIoU 0.6265
12/02/2023 15:09:13 - 0078:	 - train_loss: 0.498872:	 - test_loss: 0.501665:	 mIoU 0.6577
12/02/2023 15:09:16 - 0079:	 - train_loss: 0.472372:	 - test_loss: 0.493130:	 mIoU 0.6701
12/02/2023 15:09:20 - 0080:	 - train_loss: 0.492618:	 - test_loss: 0.501109:	 mIoU 0.6614
12/02/2023 15:09:23 - 0081:	 - train_loss: 0.456377:	 - test_loss: 0.498766:	 mIoU 0.6609
12/02/2023 15:09:27 - 0082:	 - train_loss: 0.474705:	 - test_loss: 0.505423:	 mIoU 0.6544
12/02/2023 15:09:30 - 0083:	 - train_loss: 0.469597:	 - test_loss: 0.517408:	 mIoU 0.6351
12/02/2023 15:09:34 - 0084:	 - train_loss: 0.452717:	 - test_loss: 0.500818:	 mIoU 0.6602
12/02/2023 15:09:37 - 0085:	 - train_loss: 0.451910:	 - test_loss: 0.495661:	 mIoU 0.6683
12/02/2023 15:09:41 - 0086:	 - train_loss: 0.475931:	 - test_loss: 0.505917:	 mIoU 0.6522
12/02/2023 15:09:44 - 0087:	 - train_loss: 0.471594:	 - test_loss: 0.496119:	 mIoU 0.6685
12/02/2023 15:09:48 - 0088:	 - train_loss: 0.493139:	 - test_loss: 0.518431:	 mIoU 0.6374
